% Model,rectangularwaveguide.mph
% Version,COMSOL 5.3.0.316
% Date,"Aug 9 2021, 15:53"
% Table,Probe Table 1 - 
% wvln (nm),lambda,Effective mode index (1)
1533.9999999999998,-5729506.576827038i,1.3988228357864319
1533.9999999999998,-5738424.294540218i,1.4010000402303093
1533.9999999999998,-5738424.567632536i,1.4010001069040736
1533.9999999999998,-5739840.108224329i,1.4013457021971816
1533.9999999999998,-5741180.390334299i,1.401672923607382
1533.9999999999998,-5742344.392978706i,1.4019571074996735
1533.9999999999998,-5743861.005223807i,1.4023273787984378
1535,2.5315014353804775E-6-5709504.7580114985i,1.3948482139847533+6.184529841901898E-13i
1535,-1.1162771137316794E-5-5709821.334770274i,1.394925554585258-2.7270966649355627E-12i
1535,-5725502.983481166i,1.3987566258644315
1535,-5725503.118089657i,1.398756658749668
1535,-5734432.059343355i,1.4009380244351977
1535,-5734432.332172478i,1.4009380910881266
1535,-5735844.081770889i,1.4012829855210764
1535,-5737186.949530207i,1.4016110519252725
1535,-5738351.435926729i,1.401895539256353
1535,-5739871.006467194i,1.402266774651405
1536,4.25937123678386E-6-5705500.660790952i,1.3947780603045397+1.0412543797575791E-12i
1536,-1.636751526076668E-5-5705817.820487936i,1.394855593796036-4.001235394520542E-12i
1536,-5721504.563832595i,1.3986904063314405
1536,-5721504.698739765i,1.3986904393111161
1536,-5730444.869236158i,1.4008759712048275
1536,-5730445.141802583i,1.400876037836959
1536,-5731853.094314888i,1.4012202287136
1536,-5733198.55106279i,1.401549141751146
1536,-5734363.51922771i,1.4018339321900553
1536,-5735886.051927296i,1.4022061335675915
1536.9999999999998,6.637630317005389E-6-5701501.597078319i,1.3947078633830772+1.6237047450975497E-12i
1536.9999999999998,-2.3620361185676864E-5-5701819.340364239i,1.3947855901103023-5.778039858568756E-12i
1536.9999999999998,-5717511.173737237i,1.3986241443970244
1536.9999999999998,-5717511.308942899i,1.3986241774711885
1536.9999999999998,-5726462.714379604i,1.4008138805412185
1536.9999999999998,-5726462.986683828i,1.40081394715259
1536.9999999999998,-5727867.136018052i,1.4011574317740467
1536.9999999999998,-5729215.185096221i,1.4014871930864896
1536.9999999999998,-5730380.633041931i,1.4017722863003685
1536.9999999999998,-5731906.1317669945i,1.4021454555490656
1538,9.79120296067269E-6-5697507.557058226i,1.394637623221079+2.396693622394822E-12i
1538,-3.354631667051311E-5-5697825.884583511i,1.3947155435290073-8.211477541829252E-12i
1538,-5713522.803386211i,1.3985578400615977
1538,-5713522.93889018i,1.3985578732303
1538,-5722485.584960236i,1.4007517524463846
1538,-5722485.857002757i,1.4007518190370352
1538,-5723886.197067682i,1.4010945947017077
1538,-5725236.841820248i,1.4014252059327894
1538,-5726402.767555246i,1.4017106015868759
1538,-5727931.236174739i,1.4020847405978925
1538.9999999999998,1.3776881559872025E-5-5693518.530940754i,1.3945673398192444+3.3745018943112064E-12i
1538.9999999999998,-4.693875121783042E-5-5693837.443355365i,1.394645454053046-1.1497152255596697E-11i
1538.9999999999998,-5709539.4429961415i,1.3984914933255768
1538.9999999999998,-5709539.57879823i,1.3984915265888667
1538.9999999999998,-5718513.47119009i,1.4006895869223372
1538.9999999999998,-5718513.742971402i,1.4006896534923041
1538.9999999999998,-5719910.26767658i,1.401031717495874
1538.9999999999998,-5721263.511450115i,1.40136318029153
1538.9999999999998,-5722429.912979003i,1.401648878049158
1538.9999999999998,-5723961.355364476i,1.4020239887161365
1540,1.8420491002728598E-5-5689534.5089613665i,1.394497013178261+4.514836783944794E-12i
1540,-6.49040995645773E-5-5689854.006914462i,1.3945753216832197-1.590790474040907E-11i
1540,-5705561.0828090655i,1.398425104189379
1540,-5705561.2189090885i,1.3984251375473058
1540,-5714546.363306597i,1.40062738397108
1540,-5714546.634827196i,1.4006274505204022
1540,-5715939.3380829515i,1.4009688001558311
1540,-5717295.184226476i,1.4013011161641964
1540,-5718462.059549953i,1.4015871156867896
1540,-5719996.479575553i,1.401963199905857
1541,2.29468392229819E-5-5685555.481380955i,1.3944266432988364+5.627890554723576E-12i
1541,-8.919892162100223E-5-5685875.565520162i,1.3945051464201705-2.1876728363512402E-11i
1541,-5701587.713092361i,1.3983586726534236
1541,-5701587.849490128i,1.3983587061060356
1541,-5710584.251572517i,1.400565143594614
1541,-5710584.522832896i,1.4005652101233288
1541,-5711973.398550334i,1.4009058426808634
1541,-5713331.850415317i,1.4012390135522717
1541,-5714499.197530174i,1.4015253144993407
1541,-5716036.599072648i,1.401902374169112
1541.9999999999998,2.5236113110284414E-5-5681581.438486096i,1.394356230181782+6.1933692092378746E-12i
1541.9999999999998,-1.22862553719905E-4-5681902.109455918i,1.3944349282642525-3.015254979448846E-11i
1541.9999999999998,-5697619.324138657i,1.3982921987181318
1541.9999999999998,-5697619.4608339835i,1.3982922322654783
1541.9999999999998,-5706627.126275847i,1.4005028657949348
1541.9999999999998,-5706627.397276501i,1.4005029323030813
1541.9999999999998,-5708012.439367513i,1.4008428450702528
1541.9999999999998,-5709373.500307873i,1.401176872457239
1541.9999999999998,-5710541.317206988i,1.401463474486379
1541.9999999999998,-5712081.70414568i,1.4018415115079566
1543,-4.228633761118572E-9-5677612.370623938i,1.394285773836601-1.0384512909684351E-15i
1543,-3.265948808373816E-9-5677933.629162973i,1.394364667248384-8.0203889669449E-16i
1543,-5693655.906265749i,1.3982256823839256
1543,-5693656.0432584435i,1.3982257160260543
1543,-5702674.977729734i,1.4004405505740323
1543,-5702675.248471158i,1.400440617061649
1543,-5704056.450848428i,1.4007798073232773
1543,-5705420.124220533i,1.4011146928805804
1543,-5706588.40889287i,1.401401595647465
1543,-5708131.785109721i,1.4017806119244423
1544,-6.781101636659881E-9-5673648.268066613i,1.3942152742482163-1.6663555848664716E-15i
1544,-5.200282751163626E-9-5673970.114763835i,1.3942943633210725-1.2778926890638083E-15i
1544,-5689697.4498165315i,1.3981591236512296
1544,-5689697.587106407i,1.398159157388189
1544,-5698727.796272414i,1.400378197933893
1544,-5698728.066755099i,1.4003782644010185
1544,-5700105.423332111i,1.4007167294392135
1544,-5701471.712494786i,1.4010524748237771
1544,-5702640.462925385i,1.401339677982157
1544,-5704186.832304937i,1.4017196754206194
1544.9999999999998,-9.502256081516044E-9-5669689.121204726i,1.3941447314244901-2.3365514350947353E-15i
1544.9999999999998,-9.378505592621538E-9-5670011.556713028i,1.3942240165061786-2.3061218844764785E-15i
1544.9999999999998,-5685743.9451589i,1.3980925225204686
1544.9999999999998,-5685744.082745766i,1.3980925563523068
