wvln,lambda,neff
1541.9999999999998,-5748154.5961420415i,1.4106944096385874
1543,7.0809809299579394E-6-5247200.565671483i,1.2885869311960647+1.7389195195028157E-12i
1543,-3.137158743908374E-9-5318638.1215772685i,1.3061302859401203-7.704111378808092E-16i
1543,-5397953.076199817i,1.325608141359574
1543,-5404676.2763902135i,1.3272591984885578
1543,-5547077.551579558i,1.362229545037749
1543,-5564948.61683016i,1.3666182511373663
1543,-5651806.728218654i,1.3879485254051012
1543,-5677499.591116589i,1.3942580778875977
1543,-5713932.097748545i,1.4032050299488146
1543,-5744255.45697809i,1.4106517215559145
1544,7.091794692748241E-6-5243075.956486877i,1.288408487308039+1.7427038151294062E-12i
1544,-3.2616752039619093E-9-5314564.319999069i,1.3059756969111946-8.015085134190009E-16i
1544,-5393835.443706185i,1.325455404897559
1544,-5400561.5042585125i,1.32710823494879
1544,-5543053.023799175i,1.3621234215814517
1544,-5560939.636585588i,1.3665187925267637
1544,-5647845.727926079i,1.3878746810569162
1544,-5673563.190484971i,1.3941943676889414
1544,-5710008.022600867i,1.4031501469693353
1544,-5740361.308930918i,1.410609018831938
1544.9999999999998,7.10154167816754E-6-5238956.415561731i,1.2882299767726866+1.7462292383158E-12i
1544.9999999999998,-2.8954667658353086E-9-5310495.59316208i,1.305821059001332-7.119790257117772E-16i
1544.9999999999998,-5389722.796814725i,1.3253025836840044
1544.9999999999998,-5396451.713073111i,1.3269571864231107
1544.9999999999998,-5539033.480930517i,1.3620172428399877
1544.9999999999998,-5556935.638582835i,1.366419282923414
1544.9999999999998,-5643889.7095685825i,1.3878008009130516
1544.9999999999998,-5669631.772201104i,1.3941306296263944
1544.9999999999998,-5706088.926458766i,1.4030952392274672
1544.9999999999998,-5736472.142348999i,1.4105663014764853
1546,7.1114378747377735E-6-5234841.933194293i,1.2880513996227727+1.7497944779962113E-12i
1546,-2.9796301884210307E-9-5306431.931368598i,1.3056663722473878-7.331485617966087E-16i
1546,-5385615.125913963i,1.3251496777344218
1546,-5392346.893233395i,1.3268060529274812
1546,-5535018.91336449i,1.3619110088291255
1546,-5552936.613199306i,1.3663197223384889
1546,-5639938.663540012i,1.3877268849885782
1546,-5665705.326638887i,1.3940668637103162
1546,-5702174.7997176545i,1.403040306737267
1546,-5732587.947605736i,1.4105235694993716
1547,7.120927401043142E-6-5230732.49970758i,1.2878727558909846+1.753262740351136E-12i
1547,-3.0026402103887813E-9-5302373.324945639i,1.3055116366861317-7.392881442357583E-16i
1547,-5381512.421417292i,1.324996687064328
1547,-5388247.035163717i,1.3266548344778986
1547,-5531009.311516858i,1.361804719564637
1547,-5548942.550837271i,1.3662201107831564
1547,-5635992.580259065i,1.3876529332985699
1547,-5661783.844197061i,1.394003069951055
1547,-5698265.6327978i,1.4029853495127977
1547,-5728708.715099362i,1.4104808229103993
